400	    1.4784			0.58376			3.24444			0.1498			0.24782			0.07596			0.05522		
800	    5.5331			2.34534			12.7329			0.29448			0.46062			0.18258			0.10562		
1200	13.285			5.1972			28.7808			0.43376			0.72288			0.27924			0.20474		
1600	23.3658			8.94498			52.098			0.65184			1.00246			0.40038			0.27498		
2000	35.7381			13.9495			77.4253			0.82768			1.26058			0.47714			0.37432		
2400	51.0427			20.2973			115.648			1.035			1.49274			0.6227			0.40938		
2800	68.1735			27.4721			156.902			1.21436			1.77354			0.73936			0.5205		
3200	89.6724			38.7944			198.354			1.52076			2.03552			0.86388			0.55228		
3600	125.982			45.3308			261.75			1.69286			2.29458			0.93926			0.61544		
4000	148.747			56.5284			319.053			1.94714			2.59022			1.12522			0.7138		
4400	180.362			70.9485			410.712			2.19938			3.37294			1.29488			0.76688		
4800	202.327			84.4147			464.152			2.34988			3.14928			1.36292			0.83046		
5200	246.885			99.5552			543.109			2.69064			3.45922			1.55578			0.90354		
5600	280.031			109.083			643.109			2.92636			3.70474			1.67686			0.96842		
6000	326.19			125.69			712.404			3.10172			4.00982			1.68266			1.04392		
6400	377.412			143.707			824.626			3.35088			4.25558			1.87378			1.11884		
6800	427.354			161.161			935.148			3.60422			4.56814			2.0784			1.18466		
7200	473.1			180.539			1038.22			3.92972			4.89432			2.10064			1.25148		
7600	529.767			202.577			1160.15			4.24148			5.09992			2.21322			1.31998		
8000	562.435			224.188			1253.23			4.56548			5.41814			2.30346			1.39366		
8400	641.541			245.899			1408.58			4.60426			5.59958			2.66206			1.8800	688.548			268.66			1563.99			4.97394			6.07336			2.63408			1.6638		
9200	792.632			312.74			1728.53			5.33126			6.29396			2.68486			1.58148		
9600	831.19			321.562			1872.26			5.28804			6.56652			2.82052			1.76284		
10000	927.084			364.09			2042.94			5.9233			6.82856			3.03978			1.74984		
