400	    1.63946			0.58884			3.45854			0.14412			0.2416			0.07484			0.05106		
800	    7.0407			2.29062			13.5802			0.28544			0.47286			0.17128			0.1077		
1200	15.2591			5.10458			30.552			0.6456			0.76612			0.27174			0.2234		
1600	27.981			9.92008			54.3096			0.66684			1.00016			0.4002			0.2725		
2000	42.5287			14.2429			86.2086			0.85934			1.24248			0.48332			0.34436		
2400	68.8095			20.8522			125.925			1.0368			1.50036			0.56736			0.41342		
2800	94.2063			27.9416			163.1			1.2927			1.79604			0.66652			0.48116		
3200	115.385			36.4132			220.351			1.53018			2.09712			0.78018			0.71126		
3600	134.753			45.5187			277.12			1.71008			2.35454			0.9261			0.62424		
4000	166.729			56.186			343.996			1.8792			2.69306			1.0209			0.68534		
4400	213.123			70.4321			425.918			2.30762			3.05436			1.26244			0.74306		
4800	255.11			81.074			499.988			2.4885			3.21886			1.29276			0.83148		
5200	301.79			95.639			583.086			2.68174			3.52652			1.4007			0.90006		
5600	340.188			110.053			679.851			2.96256			3.72156			1.48804			0.9626		
6000	378.719			125.503			765.054			3.15878			4.03724			1.60684			1.04732		
6400	464.302			143.518			881.616			3.77614			4.48738			1.73502			1.13674		
6800	515.305			161.623			988.126			3.93248			4.5748			1.81994			1.17588		
7200	563.235			182.186			1131.48			4.32798			5.4615			1.96592			1.25926		
7600	642.32			203.876			1246.95			4.11686			5.21766			2.3376			1.35186		
8000	712.627			228.796			1367			4.40454			5.47958			2.20966			1.39572		
8400	742.266			248.69			1516.91			4.71856			5.77036			2.41538			1.48906		
8800	853.308			273.149			1631.8			4.80192			5.9904			2.47308			1.56446		
9200	929.442			296.541			1837.52			5.26454			6.40492			2.65626			1.58406		
9600	1006.09			322.654			1994.16			5.49856			6.72526			2.78612			1.69692		
10000	1090.32			350.689			2154.95			5.78234			6.9488			2.82868			1.7479		
