400	    0.00734			0.56404			0.00722			0.04352			0.18044			0.62154			0.05512		
800	    0.02138			2.46888			0.01092			0.07988			0.37178			2.3771			0.11748		
1200	0.02086			5.0613			0.0196			0.19178			0.66438			5.4491			0.20492		
1600	0.02772			9.19402			0.02158			0.18158			0.77486			9.37276			0.29952		
2000	0.03642			13.9599			0.02696			0.23036			0.98726			14.6188			0.35028		
2400	0.06618			20.3997			0.03736			0.2851			1.19742			20.9606			0.42474		
2800	0.0504			27.3018			0.04288			0.33682			1.40402			28.7362			0.5132		
3200	0.05606			36.2434			0.04392			0.38616			1.64046			37.1895			0.60066		
3600	0.062			45.3333			0.04924			0.4507			1.85296			46.9865			0.63684		
4000	0.07228			55.6516			0.0531			0.50376			2.04832			58.1749			0.68402		
4400	0.08832			67.5724			0.06488			0.5745			2.22384			70.0355			0.78058		
4800	0.09416			80.6256			0.08142			0.632			2.42454			83.1757			0.84938		
5200	0.09192			94.0544			0.07756			0.69324			2.6493			98.4022			0.91512		
5600	0.10804			109.484			0.07426			0.76102			2.84498			113.413			0.99618		
6000	0.1193			125.721			0.10072			0.81718			3.12164			130.684			1.07498		
6400	0.13206			141.645			0.08504			0.85412			3.32948			147.605			1.11834		
6800	0.15142			159.959			0.08968			0.9184			3.52194			167.249			1.21466		
7200	0.18812			179.099			0.11664			0.98162			3.7745			186.766			1.28114		
7600	0.1702			200.629			0.10246			1.0394			3.88628			208.149			1.3653		
8000	0.18848			222.009			0.1054			1.1006			4.17146			229.489			1.41614		
8400	0.21952			245.449			0.11372			1.16184			4.35554			253.912			1.5418		
8800	0.2423			268.56			0.12706			1.22282			4.6496			278.764			1.55114		
9200	0.24414			294.801			0.12496			1.26982			4.76906			306.268			1.64982		
9600	0.25794			319.778			0.13744			1.3349			5.01084			331.986			1.71706		
10000	0.17674			347.349			0.13216			1.3891			5.1913			360.593			1.80962		
