400	    3.56532			0.68188			4.22026			0.06724			0.1996			0.07722			0.05164		
800	    13.2171			2.7176			16.8128			0.14494			0.3954			0.17234			0.10646		
1200	29.385			6.05626			37.8608			0.26008			0.63572			0.27032			0.19996		
1600	54.3051			11.0018			69.9845			0.30546			0.8327			0.3811			0.27694		
2000	87.8661			16.7557			106.28			0.4261			1.02866			0.48882			0.35972		
2400	127.163			24.4533			152.412			0.51608			1.32202			0.58812			0.40564		
2800	176.725			32.7781			208.311			0.66072			1.51688			0.7333			0.47658		
3200	210.427			42.5734			268.26			0.75786			1.76208			0.8286			0.53986		
3600	289.204			54.0769			340.258			0.87524			2.04694			0.97832			0.62306		
4000	353.459			66.4148			439.566			0.95128			2.1193			1.05692			0.68944		
4400	439.837			83.142			514.548			1.18112			2.61628			1.23634			0.8009		
4800	493.525			96.3983			616.755			1.04692			2.74744			1.3016			0.86704		
5200	593.131			113.306			779.566			1.3234			3.16928			1.43756			0.90642		
5600	705.69			133.456			838.616			1.36808			3.27804			1.55032			1.0213		
6000	795.301			151.269			957.7			1.4124			3.45524			1.67944			1.04186		
6400	910.388			176.484			1095.45			1.5916			3.6392			1.83344			1.10286		
6800	1012.91			194.485			1230.87			1.80728			3.96562			1.97446			1.18942		
7200	1151.35			218.284			1382.56			1.77338			4.3452			2.10184			1.29724		
7600	1274.78			242.873			1538.35			1.90616			4.4829			2.20706			1.32576		
8000	1416.5			271.225			1718.57			2.04764			4.5157			2.33328			1.38526		
8400	1578.99			305.825			1893.95			2.51638			4.88774			2.47948			1.48006		
8800	1715.46			329.751			2090.56			2.25246			5.03788			2.59226			1.52562		
9200	1876.52			349.858			2230.72			2.39582			5.46016			2.70572			1.5881		
9600	2042.29			386.103			2463.88			2.68704			5.50126			2.80452			1.69104		
10000	2201.99			418.257			2667			2.6173			5.84404			2.9934			2.13566		
